price_doc,timestamp,full_sq,num_room,kitch_sq,state,area_m,raion_popul,university_top_20_raion,radiation_raion,full_all,metro_min_avto,big_road1_km,oil_urals,gdp_quart,cpi,balance_trade_growth,deposits_growth,rent_price_2room_eco,rent_price_1room_eco
5850000,2011-08-20,43,2.0,6.0,2.0,6407578.1,155572,0,False,86206,2.590241095,1.422391404,109.31,14313.7,354,10.1,0.009740346,36.77,29.07
6000000,2011-08-23,34,2.0,6.0,2.0,9589336.912,115352,0,False,76284,0.936699728,2.887376585,109.31,14313.7,354,10.1,0.009740346,36.77,29.07
5700000,2011-08-27,43,2.0,6.0,2.0,4808269.831,101708,0,True,101982,2.120998901,0.647249803,109.31,14313.7,354,10.1,0.009740346,36.77,29.07
13100000,2011-09-01,89,2.0,6.0,2.0,12583535.69,178473,0,False,21155,1.489049154,2.677824284,111.29,14313.7,353.2,10.1,0.009606741,37.73,30.63
16331452,2011-09-05,77,2.0,6.0,2.0,8398460.622,108171,0,True,28179,1.257186453,1.721833683,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
9100000,2011-09-06,67,2.0,6.0,2.0,7506452.02,43795,0,True,19940,2.735883907,0.284868136,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5500000,2011-09-08,25,2.0,6.0,2.0,10320473.23,57405,0,False,85956,1.453761834,2.026622672,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
2000000,2011-09-09,44,2.0,6.0,2.0,6407578.1,155572,0,False,86206,3.623270141,1.042290487,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5300000,2011-09-10,42,2.0,6.0,2.0,4787424.272,96959,0,False,78810,2.175430788,2.438125457,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
2000000,2011-09-13,36,2.0,6.0,2.0,52351766.54,142462,0,True,78507,1.383373263,1.101813754,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4650000,2011-09-16,36,2.0,6.0,2.0,14883622.34,72131,0,True,102828,1.775182628,2.832870181,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4800000,2011-09-16,38,2.0,6.0,2.0,7632939.805,78810,0,True,87713,2.844124913,0.423185959,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5100000,2011-09-17,43,2.0,6.0,2.0,52351766.54,142462,0,True,78507,2.124787465,1.454205997,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5200000,2011-09-19,31,2.0,6.0,2.0,11638050.15,123280,1,True,57999,1.5988802,0.571993402,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5000000,2011-09-19,31,2.0,6.0,2.0,8993640.418,89971,1,True,142243,1.023327784,0.239878217,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
1850000,2011-09-20,51,2.0,6.0,2.0,11754772.16,247469,0,False,165727,1.495312886,3.561980236,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
6300000,2011-09-20,47,2.0,6.0,2.0,7984443.568,142243,0,True,31167,0.908195296,1.187343399,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5900000,2011-09-20,42,2.0,6.0,2.0,5293464.965,77878,0,False,115352,1.612975362,0.189943619,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
7900000,2011-09-22,59,2.0,6.0,2.0,14883622.34,72131,0,True,102828,2.0478479,3.091613829,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5200000,2011-09-22,44,2.0,6.0,2.0,14286990.83,157010,0,True,12327,1.9456431,3.234142738,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
8200000,2011-09-22,74,2.0,6.0,2.0,15319902.35,21040,0,False,85956,8.89539239,2.864055492,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5200000,2011-09-22,39,2.0,6.0,2.0,7887684.174,104434,0,False,105663,2.785477527,1.267681132,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
6250000,2011-09-23,48,2.0,6.0,2.0,9249237.174,156377,0,False,53786,2.784609181,1.855884212,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5750000,2011-09-23,32,2.0,6.0,2.0,6879019.638,112221,0,False,111874,0.071568497,0.483433197,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
6000000,2011-09-23,34,2.0,6.0,2.0,7887684.174,104434,0,False,105663,3.371171582,1.174998282,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
1050000,2011-09-24,45,2.0,6.0,2.0,6982964.492,111374,0,True,89467,2.289276327,0.463584206,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5000000,2011-09-26,35,2.0,6.0,2.0,10053051.74,175518,0,True,61396,1.642214809,3.348045048,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4700000,2011-09-26,38,2.0,6.0,2.0,8591335.051,111023,0,False,132349,1.556289954,2.761216983,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
8254400,2011-09-26,73,2.0,6.0,2.0,8659075.461,104410,0,True,85956,1.420363997,4.535959382,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5900000,2011-09-27,42,2.0,6.0,2.0,8338438.453,94236,1,False,81980,6.542012413,0.059742495,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
6200000,2011-09-27,40,2.0,6.0,2.0,16751119.46,155427,0,False,156377,1.460312049,0.993029216,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
18300000,2011-09-27,81,2.0,6.0,2.0,5264733.751,80791,0,False,81887,3.149310908,1.286863652,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4900000,2011-09-28,38,2.0,6.0,2.0,6407578.1,155572,0,False,86206,5.262577956,0.227407095,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4400000,2011-09-28,31,2.0,6.0,2.0,10046857.44,76156,1,True,130229,3.241736445,3.313622634,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
3900000,2011-09-28,39,2.0,6.0,2.0,4389199.094,28537,0,False,32071,2.761011009,3.263793252,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4850000,2011-09-28,39,2.0,6.0,2.0,11754772.16,247469,0,False,165727,1.390034899,3.485169115,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5700000,2011-09-29,37,2.0,6.0,2.0,17881913.61,165727,0,True,89971,0.964678366,2.271554717,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4300000,2011-09-30,27,2.0,6.0,2.0,8287309.439,125354,0,True,145576,0.887844847,3.170453965,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
4500000,2011-09-30,33,2.0,6.0,2.0,10518366.87,118945,0,False,104410,1.368327811,1.614760664,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
2000000,2011-09-30,33,2.0,6.0,2.0,10518366.87,118945,0,False,104410,3.727652641,0.881972619,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
6200000,2011-09-30,45,2.0,6.0,2.0,12495435.25,91100,0,False,102590,3.019697604,1.339324209,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
7500000,2011-09-30,54,2.0,6.0,2.0,8287309.439,125354,0,True,145576,3.101483962,3.870021415,111.29,14313.7,353.2,10.1,0.018590211,37.73,30.63
5900000,2011-10-01,40,2.0,6.0,2.0,5586342.585,83502,0,False,57405,1.298459326,4.44412562,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
9550000,2011-10-01,59,2.0,6.0,2.0,7811375.434,153248,0,True,123000,1.454837915,2.410606414,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
8600000,2011-10-01,77,2.0,6.0,2.0,7587523.226,102590,0,True,85721,2.904929401,2.731457244,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
2312800,2011-10-01,42,2.0,6.0,2.0,12583535.69,178473,0,False,21155,2.256098719,1.250605833,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
6200000,2011-10-03,38,2.0,6.0,2.0,3799999.352,76308,0,True,118945,1.140209852,1.99951431,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
4833000,2011-10-03,36,2.0,6.0,2.0,8591335.051,111023,0,False,132349,2.172408118,3.606867407,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
5300000,2011-10-03,44,2.0,6.0,2.0,8338438.453,94236,1,False,81980,7.812871498,0.211421872,108.24,15663.6,353,18.1,0.018590211,38.1,31.11
